"",H,が良い,が悪い
動画,-0.0,1,0
操作性,0.970950594454669,4,6
レスポンス,0.985228136034252,8,6
持ち,0.982858689712706,22,30
自分,-0.0,1,0
画質,0.91829583405449,24,12
色,0.91829583405449,1,2
バリオテッサー,-0.0,1,0
使い勝手,0.870864469235364,17,7
操作感,-0.0,1,0
センス,-0.0,1,0
天気,-0.0,2,0
悪さ,-0.0,1,0
・ホールド感,-0.0,1,0
デザイン,-0.0,7,0
写り,0.91829583405449,4,2
問題無しホールド感,-0.0,1,0
機能,0.811278124459133,3,1
液晶パネル,-0.0,1,0
ホールド感,0.954434002924965,3,5
ピンク,-0.0,1,0
感じ,-0.0,4,0
グリップ感,1.0,1,1
カラーナイトビュー,-0.0,1,0
・携帯性,-0.0,2,0
フットワーク,-0.0,1,0
形式,-0.0,1,0
FZシリーズ,-0.0,1,0
携帯性,0.91829583405449,6,3
SR8,-0.0,1,0
968C,-0.0,1,0
機種,-0.0,1,0
竭。映り,-0.0,1,0
ない,-0.0,1,0
EVF,-0.0,1,0
画像,1.0,1,1
画像処理エンジン,-0.0,1,0
切れ,-0.0,1,0
気持ち,-0.0,7,0
3．防塵防滴性能,-0.0,1,0
工学ズーム,-0.0,1,0
肌,-0.0,1,0
コストパフォーマンス,-0.0,5,0
5．マクロ性能,-0.0,1,0
相性,-0.0,2,0
レンズ性能,-0.0,1,0
・画質,0.91829583405449,2,1
バッテリー,-0.0,1,0
重さ,-0.0,3,0
バランス,0.881290899230693,14,6
皆さん,-0.0,1,0
ボケ,-0.0,1,0
D80,-0.0,1,0
画像編集メニュー,-0.0,1,0
指,-0.0,1,0
ホールド,-0.0,1,0
もち,0.543564443199596,1,7
バッテリー持ち,-0.0,1,0
コントラスト,-0.0,1,0
3．ホールド感,-0.0,2,0
ホールド性,0.91829583405449,1,2
・デザイン,-0.0,2,0
修正,-0.0,1,0
見え,1.0,1,1
グリップ性,-0.0,1,0
製品,-0.0,1,0
色乗り,-0.0,1,0
レンズ,1.0,1,1
CP,-0.0,2,0
質感,0.721928094887362,4,1
リング,-0.0,1,0
評判,-0.0,1,0
ADJボタン,-0.0,1,0
ズーム,-0.0,1,0
サイズ,-0.0,1,0
・レンズ,-0.0,1,0
・操作性,-0.0,3,0
(色調・解像度),-0.0,1,0
が,-0.0,1,0
キレ,-0.0,1,0
重い,-0.0,1,0
16-45mmf4,-0.0,1,0
中央,-0.0,1,0
DA21mm,-0.0,1,0
20mm,-0.0,1,0
0付近,-0.0,1,0
組み合わせ,-0.0,1,0
光,-0.0,2,0
感触,-0.0,2,0
部分,-0.0,1,0
PF,-0.0,1,0
出来,-0.0,1,0
ホールド感),-0.0,1,0
精度,1.0,2,2
性能,-0.0,2,0
縦グリ,-0.0,1,0
ライブビュー,-0.0,1,0
2)バッテリー,-0.0,1,0
ハンドリング,1.0,1,1
肌触り感,-0.0,1,0
「水族館」,-0.0,1,0
汎用性,-0.0,1,0
135mm近辺,-0.0,1,0
濃さ,-0.0,1,0
液晶,-0.0,1,0
音質,-0.0,1,0
視認性,0.91829583405449,2,1
目,0.91829583405449,1,2
コストメリット,-0.0,1,0
フロントキャップ,-0.0,1,0
価格設定,-0.0,1,0
マッチング,-0.0,1,0
ホワイトバランス,-0.0,1,0
造り,-0.0,1,0
ボリューム感,-0.0,1,0
設定,-0.0,1,0
子供,-0.0,1,0
条件,0.91829583405449,1,2
・描写,-0.0,1,0
解像度,1.0,1,1
持ち運び,-0.0,1,0
見栄え,-0.0,1,0
絵,-0.0,1,0
グリップ,-0.0,1,0
AF,1.0,1,1
重量感,-0.0,1,0
出番,-0.0,1,0
作り,-0.0,1,0
高感度画質,-0.0,1,0
無い,-0.0,1,0
アルミ・ボディ,-0.0,1,0
フラッシュ,-0.0,1,0
まとまり,-0.0,1,0
2点,-0.0,1,0
1)機動性,-0.0,1,0
3)コストパフォーマンス,-0.0,1,0
売れ行き,-0.0,0,1
掛かり,-0.0,0,1
反応,-0.0,0,2
付属ソフト,-0.0,0,1
フィーリング,-0.0,0,1
記述,-0.0,0,1
ボタン位置,-0.0,0,1
解像感,-0.0,0,1
感度,-0.0,0,2
位置,-0.0,0,5
調子,-0.0,0,1
音,-0.0,0,1
半押し,-0.0,0,1
発色,-0.0,0,2
背面液晶,-0.0,0,1
取り付け位置,-0.0,0,1
構造,-0.0,0,1
応答性,-0.0,0,1
よい,-0.0,0,1
映り,-0.0,0,1
電力事情,-0.0,0,1
全長,-0.0,0,1
(?),-0.0,0,1
モチ,-0.0,0,1
収納性,-0.0,0,1
ライン,-0.0,0,1
質,-0.0,0,2
都合,-0.0,0,1
AF精度,-0.0,0,2
(視力,-0.0,0,1
始末,-0.0,0,1
(9)携帯性,-0.0,0,1
工作精度,-0.0,0,1
製造品質,-0.0,0,1
重量バランス,-0.0,0,1
品質,-0.0,0,1
少し分,-0.0,0,1
合わせ,-0.0,0,1
立て付け,-0.0,0,1
気分,-0.0,0,1
態度,-0.0,0,1
①操作性,-0.0,0,1
